User_ID,Cust_name,Course_ID,Course_Name,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Course_Category,Orders,Amount
9325804,Customer_0,C00004,Data Science,M,0-17,55,1,Illinois,Central,Professional,Technology,4,72.21
2484405,Customer_1,C00001,Graphic Design,F,36-45,51,1,Florida,Western,Student,Technology,4,181.8
,,,,,,,,,,,,,
3215104,Customer_2,C00002,Web Development,M,0-17,14,1,California,Southern,Student,Business,4,371.77
6157699,Customer_3,C00003,Digital Marketing,F,46-55,39,1,Illinois,Eastern,Self-Employed,Technology,1,238.15
9222403,Customer_4,C00001,Data Science,M,18-25,37,1,Illinois,Central,Professional,Arts,4,127.83
8644169,Customer_5,C00002,Web Development,M,46-55,27,1,California,Central,Professional,Technology,3,98.24
6853461,Customer_6,C00001,Digital Marketing,M,55+,45,1,Texas,Eastern,Student,Technology,1,417.8
7739698,Customer_7,C00004,Graphic Design,M,0-17,12,0,Florida,Central,Professional,Business,2,262.91
1374564,Customer_8,C00002,Data Science,F,36-45,30,0,New York,Western,Professional,Technology,4,447.03
3832983,Customer_9,C00003,Data Science,F,26-35,55,0,Texas,Western,Student,Technology,2,379.98
5930630,Customer_10,C00000,Python Programming,F,18-25,25,1,New York,Southern,Student,Technology,3,234.38
9699352,Customer_11,C00003,Digital Marketing,F,46-55,46,1,Florida,Northern,Unemployed,Arts,4,218.08
3701626,Customer_12,C00002,Python Programming,F,46-55,51,1,Texas,Eastern,Unemployed,Technology,2,282.04
5735681,Customer_13,C00003,Graphic Design,M,46-55,14,1,Illinois,Western,Unemployed,Business,3,450.08
7662231,Customer_14,C00000,Python Programming,F,0-17,59,0,Texas,Western,Unemployed,Technology,4,381.78
8036504,Customer_15,C00000,Web Development,M,0-17,23,0,New York,Western,Professional,Technology,3,52.32
1606745,Customer_16,C00000,Data Science,F,26-35,40,1,Illinois,Western,Self-Employed,Technology,4,362.37
,,,,,,,,,,,,,
4107661,Customer_17,C00003,Python Programming,M,55+,55,0,California,Southern,Student,Arts,3,463.78
7264904,Customer_18,C00002,Python Programming,F,0-17,33,1,Texas,Central,Student,Technology,2,369.71
6118729,Customer_19,C00003,Digital Marketing,M,36-45,44,1,Texas,Western,Retired,Business,1,129.65
3951283,Customer_20,C00000,Digital Marketing,F,36-45,45,1,Illinois,Southern,Self-Employed,Arts,4,267.58
5527056,Customer_21,C00004,Python Programming,F,46-55,19,1,Texas,Northern,Self-Employed,Technology,4,113.14
3527987,Customer_22,C00000,Web Development,M,18-25,36,1,Illinois,Central,Student,Business,1,211.55
1532165,Customer_23,C00000,Python Programming,M,46-55,36,0,California,Northern,Self-Employed,Technology,2,471.7
4491838,Customer_24,C00002,Web Development,M,36-45,32,0,Texas,Central,Retired,Technology,4,465.49
9829778,Customer_25,C00003,Python Programming,F,36-45,22,0,New York,Central,Professional,Technology,1,177.28
5087907,Customer_26,C00002,Graphic Design,F,36-45,25,0,Texas,Central,Unemployed,Business,1,202.83
1556209,Customer_27,C00003,Graphic Design,F,46-55,44,1,Illinois,Southern,Retired,Technology,2,320.1
3327283,Customer_28,C00000,Python Programming,M,26-35,36,0,Illinois,Eastern,Unemployed,Business,1,483.44
5064029,Customer_29,C00000,Digital Marketing,M,18-25,48,0,New York,Northern,Student,Technology,4,116.51
5668302,Customer_30,C00000,Web Development,F,26-35,56,0,New York,Central,Professional,Business,2,165.61
9085927,Customer_31,C00003,Graphic Design,M,26-35,26,0,Illinois,Central,Retired,Business,3,443.1
4449376,Customer_32,C00000,Web Development,M,18-25,57,1,Illinois,Western,Self-Employed,Arts,3,271.35
2884874,Customer_33,C00002,Data Science,F,36-45,50,1,Texas,Western,Professional,Technology,4,454.53
3574580,Customer_34,C00002,Digital Marketing,M,36-45,10,1,Illinois,Southern,Retired,Technology,1,133.48
5055191,Customer_35,C00000,Digital Marketing,M,46-55,20,1,New York,Central,Professional,Technology,2,289.7
4419595,Customer_36,C00004,Data Science,M,46-55,21,1,Texas,Northern,Student,Technology,3,196.82
8329820,Customer_37,C00003,Digital Marketing,F,26-35,23,0,Illinois,Northern,Self-Employed,Technology,2,192.44
9708898,Customer_38,C00004,Graphic Design,M,18-25,17,1,California,Western,Unemployed,Technology,4,251.09
2924149,Customer_39,C00000,Data Science,F,18-25,40,0,New York,Western,Unemployed,Arts,4,244.88
6314437,Customer_40,C00004,Graphic Design,M,0-17,16,0,California,Eastern,Unemployed,Technology,2,210.81
2094020,Customer_41,C00003,Graphic Design,F,0-17,55,1,Texas,Central,Retired,Technology,2,461.74
4140650,Customer_42,C00003,Data Science,M,26-35,40,1,New York,Central,Professional,Technology,4,379.28
1570810,Customer_43,C00004,Web Development,F,46-55,25,1,Texas,Western,Self-Employed,Business,4,377.4
1020737,Customer_44,C00001,Web Development,F,36-45,51,1,Florida,Western,Self-Employed,Arts,1,180.46
7975463,Customer_45,C00003,Digital Marketing,M,55+,48,1,New York,Western,Retired,Technology,3,309.97
8008169,Customer_46,C00000,Data Science,M,36-45,53,0,Texas,Eastern,Self-Employed,Arts,1,400.63
5548665,Customer_47,C00000,Graphic Design,F,26-35,28,0,California,Eastern,Self-Employed,Business,2,408.02
4420006,Customer_48,C00000,Web Development,M,18-25,17,1,Texas,Eastern,Professional,Technology,3,205.04
1086107,Customer_49,C00001,Web Development,F,0-17,38,0,Illinois,Central,Professional,Technology,1,396.89
3946944,Customer_50,C00000,Digital Marketing,M,46-55,11,0,Illinois,Eastern,Professional,Technology,3,381.15
2844789,Customer_51,C00004,Digital Marketing,F,18-25,51,1,California,Central,Retired,Technology,1,113.68
4558284,Customer_52,C00001,Digital Marketing,M,46-55,12,1,Texas,Western,Retired,Business,2,439.68
5730964,Customer_53,C00003,Digital Marketing,M,46-55,38,1,New York,Central,Retired,Technology,4,248.59
7277323,Customer_54,C00001,Data Science,M,26-35,24,0,California,Northern,Self-Employed,Technology,3,268.88
1397636,Customer_55,C00000,Python Programming,M,0-17,47,0,Texas,Southern,Unemployed,Technology,2,251.77
9237830,Customer_56,C00000,Web Development,F,0-17,37,1,Florida,Western,Self-Employed,Technology,2,305.53
3071492,Customer_57,C00004,Digital Marketing,F,55+,46,1,Illinois,Northern,Professional,Technology,4,329.53
2917999,Customer_58,C00003,Graphic Design,M,36-45,41,0,California,Southern,Unemployed,Technology,4,274.18
8926399,Customer_59,C00003,Web Development,F,18-25,39,0,Texas,Northern,Student,Business,4,440.05
5953219,Customer_60,C00001,Digital Marketing,M,55+,56,0,Florida,Southern,Unemployed,Arts,3,332.48
4283812,Customer_61,C00000,Digital Marketing,F,55+,39,1,Illinois,Southern,Professional,Technology,4,230.64
2314638,Customer_62,C00000,Data Science,F,18-25,43,1,Florida,Eastern,Professional,Technology,3,237.51
7300815,Customer_63,C00001,Python Programming,M,55+,22,0,California,Northern,Professional,Business,4,414.88
9767124,Customer_64,C00002,Python Programming,F,0-17,42,1,Texas,Northern,Professional,Technology,1,206.69
9891087,Customer_65,C00000,Data Science,M,46-55,51,0,Florida,Western,Student,Technology,1,145.15
5295565,Customer_66,C00003,Graphic Design,M,36-45,26,1,Florida,Central,Unemployed,Arts,2,76.72
1341845,Customer_67,C00001,Python Programming,M,55+,12,0,Florida,Northern,Student,Technology,1,444.21
4416624,Customer_68,C00001,Graphic Design,M,36-45,18,1,New York,Northern,Self-Employed,Arts,4,463.35
7288689,Customer_69,C00004,Web Development,M,46-55,20,1,Florida,Western,Unemployed,Arts,3,104.05
5302405,Customer_70,C00000,Web Development,F,36-45,58,1,Texas,Western,Self-Employed,Technology,3,200.51
6453993,Customer_71,C00000,Python Programming,F,46-55,36,1,Texas,Eastern,Self-Employed,Technology,4,128.92
2513123,Customer_72,C00003,Python Programming,M,36-45,37,0,Texas,Central,Self-Employed,Arts,3,102.15
7604224,Customer_73,C00002,Web Development,M,0-17,11,0,Illinois,Central,Professional,Technology,2,454.94
3923717,Customer_74,C00003,Web Development,M,55+,10,0,Florida,Eastern,Unemployed,Technology,1,75.59
8958110,Customer_75,C00002,Python Programming,M,36-45,15,1,California,Western,Retired,Arts,4,491.22
,,,,,,,,,,,,,
8526257,Customer_76,C00004,Web Development,F,36-45,34,1,Illinois,Western,Unemployed,Arts,1,93.4
9621746,Customer_77,C00003,Python Programming,F,18-25,44,1,New York,Western,Professional,Business,1,438.56
8664932,Customer_78,C00003,Data Science,M,36-45,25,1,Texas,Northern,Unemployed,Business,4,304.93
8781930,Customer_79,C00000,Digital Marketing,M,55+,13,0,New York,Central,Professional,Business,4,215.56
1852941,Customer_80,C00003,Python Programming,F,55+,56,0,Illinois,Central,Unemployed,Business,1,204.05
